CASRN,Canonical_QSARr
83-67-0,CN1C2N=CN(C)C=2C(=O)NC1=O
19186-97-1,O=P(OCC(CBr)(CBr)CBr)(OCC(CBr)(CBr)CBr)OCC(CBr)(CBr)CBr
5534-13-4,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)CC)C(=O)CO
141-78-6,CCOC(C)=O
17527-29-6,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
29091-09-6,[O-][N+](=O)C1=C(Cl)C(=CC(=C1Cl)C(F)(F)F)[N+]([O-])=O
6610-29-3,CNC(=S)NN
22252-43-3,CC1CSC2C(N)C(=O)N2C=1C(O)=O
5261-99-4,C[N+](C)=CCC(O)CC(=N)[O-]
877179-04-9,NC1C=CC(F)=CC=1C1=CC(Cl)=C(Cl)C=C1
598-50-5,CNC(N)=O
16470-24-9,OS(=O)(=O)C1C=C(C=CC=1C=CC1C=CC(=CC=1S(O)(=O)=O)NC1N=C(NC2C=CC(=CC=2)S(O)(=O)=O)N=C(N=1)N(CCO)CCO)NC1N=C(NC2C=CC(=CC=2)S(O)(=O)=O)N=C(N=1)N(CCO)CCO
220410-74-2,CC1(C)CC(O)CC(C)(C)N1O
6486-23-3,CC(=O)C(N=NC1=CC=C(Cl)C=C1[N+]([O-])=O)C(=O)NC1=CC=CC=C1Cl
128-04-1,CN(C)C(S)=S
546-89-4,CC(O)=O
111-77-3,COCCOCCO
768-35-4,OB(O)C1C=CC=C(F)C=1
124-22-1,CCCCCCCCCCCCN
100-61-8,CNC1C=CC=CC=1
120118-14-1,CC1C=CC(=CC=1)C1NC(C#N)=NC=1Cl
36211-43-5,CC(CC(O)=O)CC(C)(C)C
101377-47-3,C[Si](CN1C=NN=C1)(C1C=CC(F)=CC=1)C1C=CC(F)=CC=1
530-48-3,C=C(C1C=CC=CC=1)C1C=CC=CC=1
10591-84-1,CN(C1C=CC=CC=1)C(=S)SSC(=S)N(C)C1C=CC=CC=1
122886-55-9,CCCCCCCCNC(=O)NC1C=CC(CC2C=CC(=CC=2)NC(=O)NCCCCCCCC)=CC=1
57206-89-0,CC(=O)C(N=NC1C=CC(C)=CC=1[N+]([O-])=O)C(=O)NC1C=CC(Cl)=CC=1
433733-92-7,CC1=CN2C3OC(CO)C(O)C3OC2=NC1=O
1200-09-5,CC(C)=CCC1C=CC(O)=CC=1
65-85-0,OC(=O)C1C=CC=CC=1
874819-71-3,NP(N)(=O)NC1=CC=CC=C1[N+]([O-])=O
104-68-7,OCCOCCOC1C=CC=CC=1
24916-90-3,CC1CC2C3CCC4=CC(=O)C=CC4(C)C43OC4CC2(C)C1(O)C(=O)CO
97-59-6,NC(=O)NC1NC(=O)NC1=O
15356-60-2,CC(C)C1CCC(C)CC1O
71735-61-0,COCCCNS(=O)(=O)C1=CC(N=NC2C3C=CC=CC=3C=CC=2O)=C(O)C=C1
16874-34-3,CCOC(=O)C1CCCO1
107-98-2,COCC(C)O
980-26-7,CC1=CC2=C(C=C1)NC1=CC3=C(C=C1C2=O)NC1=CC=C(C)C=C1C3=O
58890-25-8,O=C(NC1C=CC(CC2C=CC(=CC=2)NC(=O)NC2CCCCC2)=CC=1)NC1CCCCC1
294-62-2,C1CCCCCCCCCCC1
