Substance Name,Name Type,Substance Number,Number type,Regulatory Number,Regulatory Number Type,Substance Form,Classification,Signal Word,Pictograms,Level,Result Link,Source,
"((4-phenylbutyl)hydroxyphosphoryl)acetic acid",,83623-61-4,CAS Number,015-177-00-X,EU Harmonised CLP Classification no.,,Eye Damage 1   Skin Sens. 1   STOT Rep. Exp. 2  ,Danger,GHS08 : Health hazard GHS05 : Corrosion,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/28564,ECHA C&L inventory
"(-)-trans-4-(4'-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine",,105812-81-5,CAS Number,603-147-00-4,EU Harmonised CLP Classification no.,,Acute Tox. 4 - Oral   Eye Damage 1   Aquatic Chronic 2  ,Danger,GHS05 : Corrosion GHS07 : Exclamation mark GHS09 : Environment,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/93860,ECHA C&L inventory
"(1,3-Dioxo-4,5,6,7-tetrahydroisoindolin-2-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropane-1-carboxylate",,7696-12-0,CAS Number,,,,Eye Irrit. 2B   STOT Single Exp. 2   Aquatic Acute 1   Aquatic Chronic 1  ,Warning,GHS08 : Health hazard GHS09 : Environment,1,http://www.safe.nite.go.jp/english/ghs/08-meti-0011e.html,GHS-J
"(1,3-Dioxo-4,5,6,7-tetrahydroisoindolin-2-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropane-1-carboxylate",,7696-12-0,CAS Number,,,,Eye Irrit. 2B   STOT Single Exp. 2   Aquatic Acute 1   Aquatic Chronic 1  ,Warning,GHS08 : Health hazard GHS09 : Environment,1,https://www.nite.go.jp/chem/english/ghs/08-meti-0011e.html,GHS-J
"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate",,42978-66-5,CAS Number,607-249-00-X,EU Harmonised CLP Classification no.,,Skin Irrit. 2   Eye Irrit. 2   Skin Sens. 1   STOT Single Exp. 3   Aquatic Chronic 2  ,Warning,GHS07 : Exclamation mark GHS09 : Environment,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/114740,ECHA C&L inventory
"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate",,42978-66-5,CAS Number,,,,Eye Irrit. 2A   Skin Sens. 1   Aquatic Acute 2   Aquatic Chronic 2  ,Warning,GHS07 : Exclamation mark GHS09 : Environment,1,http://www.safe.nite.go.jp/english/ghs/08-mhlw-0273e.html,GHS-J
"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate",,42978-66-5,CAS Number,,,,Eye Irrit. 2A   Skin Sens. 1   Aquatic Acute 2   Aquatic Chronic 2  ,Warning,GHS07 : Exclamation mark GHS09 : Environment,1,https://www.nite.go.jp/chem/english/ghs/08-mhlw-0273e.html,GHS-J
"(1R,2S,5R)-2-Isopropyl-5-methylcyclohexan-1-ol",,2216-51-5,CAS Number,,,,Skin Irrit. 2   Eye Irrit. 2B   STOT Single Exp. 3   Aquatic Acute 3  ,Warning,GHS07 : Exclamation mark,1,http://www.safe.nite.go.jp/english/ghs/13-mhlw-0090e.html,GHS-J
"(1R,2S,5R)-2-Isopropyl-5-methylcyclohexan-1-ol",,2216-51-5,CAS Number,,,,Skin Irrit. 2   Eye Irrit. 2B   STOT Single Exp. 3   Aquatic Acute 3  ,Warning,GHS07 : Exclamation mark,1,https://www.nite.go.jp/chem/english/ghs/13-mhlw-0090e.html,GHS-J
"(1R,4S)-2-azabicyclo[2.2.1]hept-5-en-3-one",,79200-56-9,CAS Number,606-085-00-6,EU Harmonised CLP Classification no.,,Acute Tox. 4 - Oral   Eye Damage 1   Skin Sens. 1  ,Danger,GHS05 : Corrosion GHS07 : Exclamation mark,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/124840,ECHA C&L inventory
