Substance Name,Name Type,Substance Number,Number type,Regulatory Number,Regulatory Number Type,Substance Form,Classification,Signal Word,Pictograms,Level,Result Link,Source,
"((4-phenylbutyl)hydroxyphosphoryl)acetic acid",,83623-61-4,CAS Number,015-177-00-X,EU Harmonised CLP Classification no.,,Eye Damage 1   Skin Sens. 1   STOT Rep. Exp. 2  ,Danger,GHS08 : Health hazard GHS05 : Corrosion,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/28564,ECHA C&L inventory
"(+)-(1S,2S,3S,5R)-2,6,6-trimethylbicyclo[3.1.1]heptane-3-spiro-1'-(cyclohex-2'-en-4'-one)",,133636-82-5,CAS Number,606-121-00-0,EU Harmonised CLP Classification no.,,Skin Corr. 1B   Skin Sens. 1   Aquatic Acute 1   Aquatic Chronic 1  ,Danger,GHS05 : Corrosion GHS07 : Exclamation mark GHS09 : Environment,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/133130,ECHA C&L inventory
"(+/-)-(R*,R*)-6-fluoro-3,4-dihydro-2-oxiranyl-2H-1-benzopyran; 6-fluoro-2-(2-oxiranyl)chromane",,419-620-1,EC Number,603-228-00-4,EU Harmonised CLP Classification no.,,Skin Sens. 1   Aquatic Chronic 2  ,Warning,GHS07 : Exclamation mark GHS09 : Environment,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/23335,ECHA C&L inventory
"(-)(3S,4R)-4-(4-fluorophenyl)-3-(3,4-methylenedioxy-phenoxymethyl)-N-benzylpiperidine hydrochloride",,105813-13-6,CAS Number,613-310-00-1,EU Harmonised CLP Classification no.,,Acute Tox. 4 - Oral   Skin Sens. 1   Aquatic Acute 1   Aquatic Chronic 1  ,Warning,GHS07 : Exclamation mark GHS09 : Environment,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/124940,ECHA C&L inventory
"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate",,42978-66-5,CAS Number,607-249-00-X,EU Harmonised CLP Classification no.,,Skin Irrit. 2   Eye Irrit. 2   Skin Sens. 1   STOT Single Exp. 3   Aquatic Chronic 2  ,Warning,GHS07 : Exclamation mark GHS09 : Environment,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/114740,ECHA C&L inventory
"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate",,42978-66-5,CAS Number,,,,Eye Irrit. 2A   Skin Sens. 1   Aquatic Acute 2   Aquatic Chronic 2  ,Warning,GHS07 : Exclamation mark GHS09 : Environment,1,http://www.safe.nite.go.jp/english/ghs/08-mhlw-0273e.html,GHS-J
"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate",,42978-66-5,CAS Number,,,,Eye Irrit. 2A   Skin Sens. 1   Aquatic Acute 2   Aquatic Chronic 2  ,Warning,GHS07 : Exclamation mark GHS09 : Environment,1,https://www.nite.go.jp/chem/english/ghs/08-mhlw-0273e.html,GHS-J
"(1R,4S)-2-azabicyclo[2.2.1]hept-5-en-3-one",,79200-56-9,CAS Number,606-085-00-6,EU Harmonised CLP Classification no.,,Acute Tox. 4 - Oral   Eye Damage 1   Skin Sens. 1  ,Danger,GHS05 : Corrosion GHS07 : Exclamation mark,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/124840,ECHA C&L inventory
"(1S)-2-methyl-2,5-diazobicyclo[2.2.1]heptane dihydrobromide",,125224-62-6,CAS Number,613-160-00-7,EU Harmonised CLP Classification no.,,Skin Sens. 1  ,Warning,GHS07 : Exclamation mark,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/83776,ECHA C&L inventory
"(1S-cis)-4-(2-amino-6-chloro-9H-purin-9-yl)-2-cyclopentene-1-methanol hydrochloride",,172015-79-1,CAS Number,603-205-00-9,EU Harmonised CLP Classification no.,,Acute Tox. 4 - Oral   Eye Damage 1   Skin Sens. 1   STOT Rep. Exp. 1   Aquatic Chronic 3  ,Danger,GHS05 : Corrosion GHS08 : Health hazard GHS07 : Exclamation mark,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/77160,ECHA C&L inventory
"(1α,2α,3β,6β)-1,2,3,6-tetrahydro-3,6-methanophthalic anhydride",,2746-19-2,CAS Number,607-105-00-6,EU Harmonised CLP Classification no.,,Eye Damage 1   Resp. Sens. 1   Skin Sens. 1  ,Danger,GHS08 : Health hazard GHS05 : Corrosion,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/99535,ECHA C&L inventory
"(2,2'-(3,3'-dioxidobiphenyl-4,4'-diyldiazo)bis(6-(4-(3-(diethylamino)propylamino)-6-(3-(diethylammonio)propylamino)-1,3,5-triazin-2-ylamino)-3-sulfonato-1-naphtholato))dicopper(II) acetate lactate",,159604-94-1,CAS Number,611-078-00-6,EU Harmonised CLP Classification no.,,Skin Sens. 1   Aquatic Chronic 2  ,Warning,GHS07 : Exclamation mark GHS09 : Environment,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/29264,ECHA C&L inventory
"(2,3,5,6-tetrafluorophenyl)methanol",,4084-38-2,CAS Number,602-108-00-9,EU Harmonised CLP Classification no.,,Acute Tox. 4 - Oral   Eye Irrit. 2   Skin Sens. 1  ,Warning,GHS07 : Exclamation mark,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/118650,ECHA C&L inventory
"(2,4-diaminopteridin-6-yl)methanol hydrobromide",,76145-91-0,CAS Number,613-161-00-2,EU Harmonised CLP Classification no.,,Skin Sens. 1   STOT Rep. Exp. 2   Aquatic Chronic 3  ,Warning,GHS08 : Health hazard GHS07 : Exclamation mark,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/61815,ECHA C&L inventory
"(2,5-dioxopyrrolidin-1-yl)-9H-fluoren-9-ylmethyl carbonate",,82911-69-1,CAS Number,613-306-00-X,EU Harmonised CLP Classification no.,,Acute Tox. 4 - Oral   Skin Sens. 1   Aquatic Chronic 2  ,Warning,GHS07 : Exclamation mark GHS09 : Environment,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/79459,ECHA C&L inventory
"(2-(aminomethyl)phenyl)acetylchloride hydrochloride",,61807-67-8,CAS Number,017-015-00-3,EU Harmonised CLP Classification no.,,Acute Tox. 4 - Oral   Skin Corr. 1A   Skin Sens. 1  ,Danger,GHS05 : Corrosion GHS07 : Exclamation mark,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/132210,ECHA C&L inventory
"(2-butyl-5-nitrobenzofuran-3-yl)[4-(3-dibutylaminopropoxy)phenyl]methanone",,141645-23-0,CAS Number,606-138-00-3,EU Harmonised CLP Classification no.,,Flam. Liquid 3   Acute Tox. 4 - Oral   Skin Irrit. 2   Eye Damage 1   Skin Sens. 1   STOT Rep. Exp. 2   Aquatic Acute 1   Aquatic Chronic 1  ,Danger,GHS02 : Flame GHS05 : Corrosion GHS08 : Health hazard GHS07 : Exclamation mark GHS09 : Environment,1,https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/86509,ECHA C&L inventory
